# States Schedule
# Format: STATE_CODE|STATE_NAME|LICENSE_TYPE|LICENSE_NUMBER|STATUS|EFFECTIVE_DATE|EXPIRY_DATE

# ============================================================================
# APPROVED OPERATING STATES
# ============================================================================

MT|Montana|Exempt (Home State)|N/A|active|2024-01-15|N/A
AK|Alaska|MTL Exempt|N/A|active|2024-01-15|N/A
ID|Idaho|MTL Exempt|N/A|active|2024-02-01|N/A
NH|New Hampshire|MTL Exempt|N/A|active|2024-02-01|N/A
NM|New Mexico|MTL Exempt|N/A|active|2024-02-15|N/A
SC|South Carolina|MTL Exempt|N/A|active|2024-02-15|N/A
SD|South Dakota|MTL Exempt|N/A|active|2024-03-01|N/A
WY|Wyoming|MTL Exempt|N/A|active|2024-03-01|N/A
TX|Texas|Money Services License|TX-MSB-2024-0012|active|2024-04-01|2026-04-01
FL|Florida|Money Transmitter License|FL-MTL-2024-0034|active|2024-05-15|2026-05-15
GA|Georgia|Money Transmitter License|GA-MT-2024-0056|pending|2024-06-01|N/A
AZ|Arizona|Money Transmitter License|AZ-MTL-2024-0078|active|2024-06-15|2026-06-15
